Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
0.7189134397952563,1,Blouse,1,-0.2856286395859996,16,0,7,3,-0.9075835732839896,1,2,1,1,1,-0.7858306710129406,5,2.0
-1.6486292371745563,1,Sweater,1,0.17885218518331839,18,0,12,3,-0.9075835732839896,1,0,1,1,1,-1.6165522585850673,1,2.0
0.3900880679938935,1,Jeans,1,0.5588819509036694,20,2,12,1,-0.9075835732839896,1,1,2,1,1,-0.16278948033384555,2,1.0
-1.5170990884540112,1,Sandals,2,1.2767159528198881,38,1,12,1,-0.3490265374929906,1,4,3,1,1,1.6371072927390957,4,1.0
0.061262696192530657,1,Blouse,1,-0.45453075768393336,36,1,21,1,-1.4661406090749887,1,1,2,1,1,0.39102491138090567,4,12.0
0.12702777055280323,1,Sneakers,2,-1.6790711138939534,49,1,23,2,-1.1868620911794894,1,5,4,1,1,-0.7858306710129406,5,1.0
1.245034034677437,1,Shirt,1,1.0655883051974708,25,1,7,0,-0.7679443143362397,1,3,2,1,1,1.6371072927390957,1,
-1.1225086422923756,1,Shorts,1,-1.0879137005511852,17,0,4,3,-0.7679443143362397,1,3,2,1,1,-0.4396966761912211,2,1.0
-1.1882737166526482,1,Coat,3,1.5722946594912723,47,0,19,2,-1.6057798680227386,1,5,1,1,1,-1.201191464799004,5,12.0
0.8504435885158015,1,Handbag,0,-1.2145902891246354,24,1,16,1,1.4662838288277564,1,4,0,1,1,-1.4780986606563795,1,
0.5873832910747112,1,Shoes,2,-1.0879137005511852,3,0,17,0,0.48880901619350764,1,2,5,1,1,0.04489091655918616,0,
-0.925213419211558,1,Shorts,1,0.3477543032812522,10,2,13,3,1.605923087775507,1,4,5,1,1,-1.0627378668703162,0,2.0
1.1135038859568918,1,Coat,3,0.516656421379186,7,1,6,3,1.0473660519845074,1,4,1,1,1,0.8063857051669691,5,2.0
1.376564183397982,1,Dress,1,-0.3700796986349665,28,1,22,1,1.3266445698800071,1,3,1,1,1,0.39102491138090567,4,1.0
1.3107991090377096,1,Coat,3,-0.2856286395859996,31,0,20,3,1.3266445698800071,1,4,2,1,1,0.5987053082739373,3,1.0
1.3107991090377096,1,Skirt,1,0.8966861870995371,38,1,20,3,-1.3265013501272394,1,2,5,1,1,-1.201191464799004,4,
-1.254038791012921,1,Sunglasses,0,-1.0034626415022183,0,2,7,1,0.48880901619350764,1,5,3,1,1,1.2909732979173763,3,
0.5873832910747112,1,Dress,1,-0.9190115824532513,23,3,10,3,1.3266445698800071,1,3,0,1,1,0.7371589062026251,5,
0.5216182167144386,1,Sweater,1,-0.49675628720841686,25,2,1,2,1.1870053109322567,1,0,2,1,1,-0.5781502741199089,1,1.0
1.4423292577582547,1,Pants,1,1.2767159528198881,38,1,8,2,-0.6283050553884905,1,5,4,1,1,1.429426895846064,3,
-1.5170990884540112,1,Pants,1,-0.3700796986349665,17,1,1,3,-1.3265013501272394,1,2,1,1,1,1.7063340917034397,1,3.0
-0.8594483448512854,1,Pants,1,0.09440112613435148,32,1,4,3,0.48880901619350764,1,2,5,1,1,-0.23201627929818944,3,
0.7846785141555289,1,Pants,1,-0.9612371119777348,4,1,15,2,-0.7679443143362397,1,1,5,1,1,0.46025171034524953,3,12.0
-0.8594483448512854,1,Pants,1,1.1922648937709213,35,3,23,3,0.9077267930367581,1,2,1,1,1,1.0140661020600008,2,1.0
-1.7143943115348288,1,Jacket,3,-1.5946200548449865,8,1,8,0,-1.1868620911794894,1,1,5,1,1,-0.6473770730842529,3,1.0
-1.7143943115348288,1,Hoodie,1,-1.4679434662715363,42,1,19,2,-0.20938727854524067,1,0,1,1,1,-0.7858306710129406,4,12.0
-0.39909282432937737,1,Jewelry,0,-1.6790711138939534,27,1,18,1,-0.20938727854524067,1,1,3,1,1,-0.8550574699772845,2,12.0
0.7846785141555289,1,Shorts,1,-0.15895205101254922,16,0,5,2,1.7455623467232562,1,3,3,1,1,-1.2704182637633479,0,3.0
0.6531483654349838,1,Handbag,0,1.445618070917822,32,1,7,0,0.9077267930367581,1,3,2,1,1,1.0832929010243446,4,3.0
-0.8594483448512854,1,Dress,1,-0.49675628720841686,49,2,1,0,0.48880901619350764,1,5,5,1,1,-0.7858306710129406,2,1.0
0.8504435885158015,1,Jewelry,0,-1.2145902891246354,32,0,1,3,1.3266445698800071,1,0,4,1,1,-0.6473770730842529,2,
-0.7279181961307403,1,Dress,1,0.8122351280505701,47,0,3,3,1.3266445698800071,1,5,5,1,1,1.3602000968817203,5,
-0.5306229730499226,1,Jacket,3,0.30552877375676873,15,1,19,2,1.605923087775507,1,0,2,1,1,0.8063857051669691,5,12.0
0.6531483654349838,1,Pants,1,-0.9190115824532513,5,0,8,2,-0.6283050553884905,1,5,5,1,1,1.3602000968817203,1,
